"","RNA.g0","RNA.g1","RNA.g2","RNA.g3","RNA.g4","RNA.g5","RNA.g6","RNA.g7","RNA.g8","RNA.g9","RNA.g10","RNA.g11","RNA.g12"
"ENO1-AS1",0.00329976334647546,0.00380747050536438,0.00459866897531166,0.00922813242403386,0.00327282176671599,0.00107733939401383,0.00144564083508928,0.000784356542129672,0.00393430299984128,0.0107324552191371,0.00515134910903817,0,0
"MIR34A",0.0238474542221106,0.0124925514706479,0.199357320791596,0.315491139504996,1.15599098239831,0.189941050198236,0.211708062537863,0.254341639431828,0.0527779173484852,0.0875324453654256,0.432016657125014,0,0.282648869785518
"RP3-510D11.2",0.0025026008438569,0.0020863435277556,0.0430437167372244,0.0158793140494662,0.0507180543798847,0.0168253566502024,0.0172531692069394,0.0463216426442105,0.00077504371634082,0.0783465528216123,0.00827475521741034,0,0
"PIK3CD-AS2",0.00198757119098591,0.0032247835964705,0.00378836592764863,0.00568488329000705,0.0630594770751299,0.0134502758033627,0.0081080126434738,0.0490487522180202,0.000436367895314294,0,0.00185339686407104,0,0
"RP4-734G22.3",0.000462586111669828,0,0.00107736128065548,0.0082186198349752,0.00113013875504593,0.00321629472287631,0.00089419540208301,0,0.00165109988818006,0.00384436294097952,0.00227898723630408,0,0
"RP4-635E18.7",0.0389220167165877,0.0383798548742316,0.0979991019292483,0.0328194309556555,0.0510856894736176,0.0862662008396885,0.035699294512938,0.0245511540497065,0.0238893823319889,0.100095931764403,0.0221876611916042,0.0814497812100375,0.0769722531804871
"NPPA-AS1",0.00441696877689551,0.00283747934938626,0.00415015030501132,0.0112779256242993,0.0203280039490991,0.00269548324753636,0.0108413507876901,0.006382842289206,0.00524629632355603,0.0494626741216573,0.00615029918556851,0,0.0744612726920728
"RP4-704D23.1",0.00584752795839495,0.00525110223636226,0.0049894309234527,0.0391427896592069,0.00599268272786268,0.0135828652998447,0.00729595592674893,0.00764791124087301,0.00619796562650499,0.0391145086147671,0.0171681105168249,0,0
"TMEM51-AS1",0.00641695567821991,0.00543548844821136,0.0580136464950753,0.0103923216087055,0.105273652560363,0.0223425081552947,0.0072877013409972,0.0460133175899129,0.00986087801906183,0.00995271180116673,0.0536142733609866,0.71265688677419,0
"RP3-467K16.2",0.000898955855931926,0,0.00580890083674461,0.00411449528113453,0.00393942731400217,0,0.00116343626952072,0.00665884739532394,0,0.0943222521729501,0.0067937943155995,0,0
"RP4-680D5.2",0.00481572352632641,0.00465703423273409,0.0241655941726301,0.0196323213949559,0.000448376326196288,0.00691892857783933,0.00221874663044665,0.00503166276073848,0.0333373903353267,0.106197610134957,0.0192004779850683,0,0
"RP11-288I21.1",0.00176403921754196,0.00238971070016736,0.00890200879577503,0.00337142565245049,0.0170156263953778,0.00597594580670948,0.00702556967274011,0.00936107241415587,0.00402979388704418,0.00210138775647438,0.00278345622691069,0,0
"FLJ37453",0.210242082471998,0.148891151354575,0.205649979306284,0.0630192998335733,0.126899146650766,0.116032860856484,0.106543474514733,0.0958909979149897,0.0692478629959068,0.152593276829091,0.0745430458523457,0.0322245387561837,0.0907768495004114
"RP11-276H7.3",0.000364983964064555,0,0.00465696390801871,0.000706309640949079,0.014464363511246,0,0.0106825538980704,0.0193348889750034,0,0,0,0,0
"RP4-798A10.2",0.0306560260808625,0.0235526469325826,0.0401982072038764,0.0114800349133721,0.0368133904184914,0.0271475298935069,0.042306479208634,0.0572495017163319,0.00627100786905932,0.0336879733805196,0.0250988928370506,0.094198064882126,0.0636072013654152
"RP4-798A10.7",0.0250306846622359,0.0249726994502845,0.01093713675164,0.0200823330898726,0.000855334771614857,0.0171279001632333,0.00489821236828886,0,0.00643719311666486,0.0130959073849483,0.00618182472326746,0,0.0343030814458063
"RP11-108M9.4",0.00800980833490242,0.00499246230139755,0.00823905707835979,0.0147256246584723,0.0766516669831627,0.0357917062078491,0.0569372560048472,0.0606465609178939,0.00357131929554161,0.0138685795709601,0.00903941991394371,0,0
"RP11-108M9.6",0.00255372096335844,0.00279225734740845,0.00928602174379793,0.00456819323698446,0.00249036388109087,0.00401278007609936,0.0023034437828767,0.00771319857568372,0.00227937510435169,0.00498120342886119,0.00187329803527519,0,0
"RP1-37C10.3",0.022769211132823,0.0215042590275977,0.0297477053027141,0.0944023132170663,0.0292769670011698,0.0303919133064569,0.0177275848908191,0.0365578310353561,0.0245091673836367,0.0565920718857876,0.0463714738826949,0.0585326926184127,0
"RP11-174G17.2",0.00518050037896244,0.00221046347401241,0.000828705218790165,0.00283523603633627,0.000914188674463904,0.000991911406899824,0.000887771007636074,0,0,0,0.00462760998615813,0,0
"RP1-43E13.2",0.494355346072576,0.321690981412778,0.45643219010141,0.121806647858981,0.312576050706307,0.414799084188999,0.230611517769625,0.287205668984059,0.16790235643169,0.298224181266495,0.07653804614214,0.381580717236565,0.256691983805046
"RP5-1056L3.1",0.00537034957963727,0.00839949547422051,0.0277921768293357,0.00327207501127873,0.00213413116921287,0.00601257826630004,0.00121292394724266,0,0,0.0177769792826936,0.00413482758120818,0,0
"RP3-340N1.2",0,0,0,0,0.0193910283793101,0,0,0,0,0,0,0,0
"UBXN10-AS1",0.000810581662824038,0,0.00659752607660413,0.0030944626371675,0.0027462518737107,0.00207450125320309,0.00272573442188263,0,0,0,0.00698278197448373,0,0
