"gene","cluster_id","logFC","p_val","p_adj.loc"
"CTC-575N7.1","Excitatory Neurons (SubtypeA)",-1.2,0.000288,0.0113
"TARID","Excitatory Neurons (SubtypeA)",-3.39,0.000286,0.0113
"INHBA-AS1","Excitatory Neurons (SubtypeA)",-0.853,0.000274,0.0113
"RP3-331H24.5","Excitatory Neurons (SubtypeA)",1.26,0.000325,0.0124
"SPANXA2-OT1","Excitatory Neurons (SubtypeA)",-0.691,0.000359,0.0134
"RP11-284M14.1","Excitatory Neurons (SubtypeA)",0.789,0.000407,0.0149
"RP11-664H17.1","Excitatory Neurons (SubtypeA)",-0.898,0.000444,0.0159
"RP11-434D9.1","Excitatory Neurons (SubtypeA)",-2.55,0.000477,0.0164
"RP5-1021I20.5","Excitatory Neurons (SubtypeA)",0.708,0.000477,0.0164
"RP11-314P15.2","Excitatory Neurons (SubtypeA)",1.48,0.000525,0.0176
"RP11-399K21.11","Excitatory Neurons (SubtypeA)",-2.28,0.000586,0.0193
"AC067959.1","Excitatory Neurons (SubtypeA)",-1.87,8e-04,0.0258
"LYPLAL1-AS1","Excitatory Neurons (SubtypeA)",0.987,0.000953,0.029
