"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RP11-99E15.2",3.81856896359355e-06,-0.272627143300913,0.148,0.164,0.102097078379601
"RP11-315E17.1",1.24163368805423e-05,-0.329419399188865,0.12,0.134,0.331975599175059
"RP11-32K4.1",1.37075989036456e-05,0.289361494601183,0.124,0.11,0.366500071886772
"AC012358.8",4.17107775081338e-05,-0.345878920659049,0.097,0.109,1
"AC073283.4",9.99712500660114e-05,0.328812159355282,0.257,0.245,1
"AC159540.1",0.000120661399103302,-0.345725476473772,0.309,0.32,1
"MEG3",0.000221538129542817,-0.269129016369783,0.099,0.11,1
"RP11-298D21.1",0.000329997655681938,0.295285221874469,0.333,0.333,1
"RP11-160H12.2",0.00100243159024966,-0.354693566234181,0.104,0.113,1
"PACRG-AS3",0.00227424982422066,-0.337135750132383,0.103,0.112,1
"RP4-625H18.2",0.00744931135551475,-0.315254274441992,0.128,0.137,1
"STXBP5-AS1",0.0145044738305148,0.344545470305893,0.176,0.171,1
