"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RP4-565E6.1",2.72725842080865e-22,-0.387365077824432,0.61,0.708,7.29187083971608e-18
"LINC00467",3.24805250803471e-22,-1.0076147531947,0.115,0.208,8.6843179907324e-18
"RP3-406A7.7",7.36225126077278e-21,0.810702703356395,0.245,0.145,1.96844511959282e-16
"CTD-2269F5.1",1.57232318535404e-20,-0.949847383313152,0.134,0.225,4.20392050068109e-16
"C1orf132",2.1690149031713e-20,0.59739699915141,0.46,0.358,5.7992951466091e-16
"LINC01006",2.20377870719832e-20,-0.976356830643791,0.146,0.239,5.89224312943616e-16
"MCM3AP-AS1",4.01147877000944e-20,1.1494651023549,0.155,0.076,1.07254907873742e-15
"PCA3",1.30932450557724e-19,0.94159497750955,0.275,0.18,3.50074093056186e-15
"AC022182.1",1.39416428879984e-19,-1.21318713413688,0.047,0.112,3.72757705896413e-15
"RP11-326I11.4",3.60970671709006e-19,-1.25448714149767,0.055,0.122,9.65127284948368e-15
"RP5-1198O20.4",6.07989185690627e-19,-1.31154208842347,0.045,0.107,1.62558068578103e-14
"LINC01122",6.92416542708321e-19,-0.849495343350164,0.152,0.245,1.85131411023924e-14
"WDR11-AS1",7.25385959049148e-19,-0.573767624089386,0.238,0.345,1.93946443870971e-14
"LINC00882",7.80704892833583e-19,-0.292433640496023,0.694,0.792,2.08737067196915e-14
"LIFR-AS1",1.12530460064197e-18,-1.09447368852132,0.062,0.131,3.00872691073642e-14
"FAM157C",1.24215555395565e-18,-0.516420171789661,0.297,0.404,3.32115130461121e-14
"RP11-323I15.5",1.5406569069094e-18,-0.629762007322445,0.223,0.325,4.11925437200366e-14
"SAMMSON",1.80416092751119e-18,-1.59635799274221,0.178,0.265,4.82378507188668e-14
"RP11-172H24.4",4.23590465167675e-18,1.15572010756677,0.135,0.065,1.13255382671881e-13
"LINC01184",6.9566822914188e-18,-0.310773657521485,0.589,0.683,1.86000814425665e-13
"RP11-981P6.1",1.04499893215526e-17,-1.13041760813246,0.071,0.139,2.79401364490352e-13
"RP11-518L10.5",1.31710396515026e-17,0.8482032523719,0.223,0.137,3.52154087162226e-13
"ZMIZ1-AS1",1.32493562993152e-17,-1.05991172637876,0.055,0.119,3.5424803937479e-13
"RP11-1000B6.3",1.35544145414274e-17,-0.364387534109741,0.475,0.582,3.62404381594146e-13
"RP11-319G6.1",1.41389741211927e-17,-0.521725187753076,0.346,0.45,3.78033751078329e-13
"LINCR-0001",1.79660216064067e-17,1.25350514285887,0.117,0.053,4.80357519690496e-13
"JPX",2.61435472466913e-17,-0.313836991670703,0.711,0.776,6.99000022734786e-13
"AC011997.1",3.91486267604638e-17,0.65073512962146,0.273,0.179,1.04671683369452e-12
"CTD-2337A12.1",1.32441427134471e-16,-0.568642277100709,0.177,0.272,3.54108643729436e-12
"LINC00271",1.3353646400436e-16,-0.855971738545658,0.12,0.199,3.57036443808458e-12
"RP1-28O10.1",2.5825021855066e-16,-0.924902152790133,0.073,0.14,6.904836093389e-12
"RP11-320P7.2",3.00654308470357e-16,-0.362304085867817,0.428,0.534,8.03859424557194e-12
"DLEU2",4.30566623837305e-16,-0.306961612253245,0.751,0.819,1.1512059821538e-11
"SDCBP2-AS1",1.02096965672113e-15,-0.830596848606881,0.112,0.187,2.72976657117527e-11
"RP11-370I10.6",1.30971692215836e-15,-1.04104599186861,0.059,0.12,3.5017901347748e-11
"RP11-436D23.1",1.58831102908928e-15,-0.258242726273127,0.753,0.824,4.24666719847601e-11
"SUCLG2-AS1",1.75984819684727e-15,-0.539955408542476,0.193,0.285,4.70530612391054e-11
"RP11-525K10.3",2.78292183717743e-15,-1.24658287443979,0.046,0.1,7.44069811606128e-11
"CTD-2260A17.2",3.15700222593993e-15,-0.518277330831055,0.267,0.362,8.44087685149559e-11
"KB-1460A1.5",3.28682093445916e-15,1.05498943268861,0.13,0.067,8.78797313246345e-11
"RP11-17A1.3",3.56373071723662e-15,-0.863532218535384,0.064,0.125,9.52834681867556e-11
"RASSF8-AS1",4.78566600639621e-15,-0.638966415947065,0.204,0.29,1.27954352013015e-10
"LINC01411",6.71824308311788e-15,-0.504633350938774,0.247,0.342,1.79625665313323e-10
"RP11-99E15.2",8.30631964564501e-15,-0.642937407813166,0.216,0.302,2.22086068365611e-10
"ZNF337-AS1",1.68136222985371e-14,-0.618852140487445,0.143,0.223,4.49545819395987e-10
"RP11-983P16.4",1.7615852223035e-14,-0.679792636587229,0.156,0.234,4.70995040887286e-10
"TMEM9B-AS1",1.83779643036041e-14,-0.616376819182079,0.185,0.268,4.91371631585463e-10
"AC007038.7",2.45078653605016e-14,-0.712035739474935,0.138,0.214,6.55266796143731e-10
"LINC00667",2.79207181643251e-14,0.497769319201842,0.435,0.348,7.46516241559559e-10
"RP11-81K2.1",2.97172100959634e-14,0.754876081670804,0.236,0.157,7.94549046335773e-10
"RP11-187O7.3",2.99582930778689e-14,-0.730624858754047,0.164,0.241,8.0099488202298e-10
"MIR181A1HG",3.44730298312123e-14,-0.323862069634342,0.669,0.742,9.21705398597123e-10
"MIR181A2HG",5.05104496208921e-14,-0.713226698712599,0.157,0.235,1.35049789151379e-09
"AC002117.1",6.44000450617573e-14,-0.72483558445646,0.104,0.173,1.7218640048162e-09
"RP11-138A9.2",1.0505677211428e-13,0.979259485050916,0.145,0.082,2.8089029160195e-09
"RP11-286E11.1",1.30004074994255e-13,0.257535012504864,0.804,0.755,3.4759189531214e-09
"RP11-196G11.2",1.45137876199713e-13,0.580552195733838,0.352,0.268,3.88055139595174e-09
"RP11-210M15.2",2.07602474915569e-13,-0.614370365162592,0.152,0.229,5.55066737181758e-09
"NUTM2B-AS1",2.1533960172352e-13,-0.365341550722046,0.535,0.621,5.75753493128174e-09
"RP11-20E24.1",2.50875853720279e-13,-1.0168642934347,0.065,0.122,6.70766770091911e-09
"AC105402.4",3.9266357368138e-13,0.28717667538845,0.684,0.612,1.0498645969519e-08
"AC018647.3",5.94957731234007e-13,-0.675860503336805,0.117,0.186,1.59073848600037e-08
"AF127936.9",6.43662087818055e-13,1.13358441033981,0.101,0.05,1.72095932419913e-08
"RP11-81H3.2",1.22808839094e-12,-0.381699036716565,0.322,0.418,3.28353993085627e-08
"RP11-617F23.1",1.37649720516848e-12,-1.04932400445965,0.052,0.102,3.68034057745896e-08
"SLC8A1-AS1",1.94527212445418e-12,1.21226084864382,0.143,0.085,5.20107407915314e-08
"CTB-161M19.4",1.99754560900194e-12,-0.558323688405423,0.189,0.267,5.3408376947885e-08
"USP3-AS1",4.57823375417439e-12,-0.974004883861407,0.059,0.11,1.22408235885361e-07
"PKN2-AS1",6.20141883954506e-12,-1.28593269200461,0.086,0.141,1.65807335512916e-07
"CTD-2007H13.3",7.63884330259787e-12,-0.391669415073179,0.272,0.355,2.04239753381559e-07
"RAP2C-AS1",1.04235718424992e-11,-0.793933423106726,0.104,0.164,2.786950403529e-07
"MYLK-AS1",1.84320899841874e-11,0.711810498800266,0.178,0.113,4.92818789907217e-07
"CTD-3131K8.2",2.78534310769778e-11,0.627443840188749,0.31,0.237,7.44717186705154e-07
"RP11-83A24.2",3.25627038327495e-11,0.399806575208381,0.521,0.443,8.70629012376223e-07
"AC004540.5",8.88841356537391e-11,-0.748819494133118,0.129,0.191,2.37649513497402e-06
"AC007285.6",1.16067177507131e-10,-0.688013598982202,0.088,0.144,3.10328812500815e-06
"STX18-AS1",1.3001817623495e-10,-0.319879921997084,0.442,0.527,3.47629597799386e-06
"SNHG9",1.31696559313392e-10,0.664748499064416,0.166,0.106,3.52117090636216e-06
"DNAJC27-AS1",1.34327391056465e-10,-0.511550742462269,0.169,0.237,3.5915114546767e-06
"ADARB2-AS1",1.61075489970773e-10,0.793715191957082,0.154,0.098,4.30667537534857e-06
"LINC01266",1.64545498650003e-10,-0.644034891124135,0.152,0.216,4.39945299740514e-06
"LINC00877",2.14304525752025e-10,-0.330480554341004,0.419,0.503,5.72986010503189e-06
"ELMO1-AS1",2.42496036336188e-10,0.571440121208446,0.266,0.199,6.48361652352065e-06
"AL035610.2",3.62780649838717e-10,0.570242942537082,0.223,0.158,9.69966623473777e-06
"CTC-458I2.2",3.89379063063583e-10,0.74523088342754,0.142,0.088,1.0410828009131e-05
"RP5-1180C18.1",4.08944805080709e-10,0.89401443492571,0.126,0.076,1.09339572534429e-05
"RP3-525N10.2",4.90114328112621e-10,-0.451296470849066,0.3,0.372,1.31041867907471e-05
"AC093388.3",5.18890972761712e-10,-0.422185287796582,0.22,0.291,1.38735879387299e-05
"LINC01549",5.28033954812824e-10,-0.535308362010411,0.124,0.184,1.41180438498305e-05
"LINC00844",8.00495759282798e-10,0.639388129818862,0.263,0.198,2.14028551159442e-05
"LINC00685",1.00589798278775e-09,0.508886547956742,0.335,0.267,2.68946943657961e-05
"CH507-528H12.1",1.31299711437608e-09,-0.266435343226627,0.527,0.579,3.51056038470732e-05
"CTD-2175A23.1",1.76527891409036e-09,-0.646661728680763,0.105,0.159,4.71982623260339e-05
