"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","symbol"
"ENSG00000151320",0,1.18461570340576,0.946,0.642,0,"0","ENSG00000151320","AKAP6"
"ENSG00000185046",0,0.534538365439237,0.926,0.625,0,"0","ENSG00000185046","ANKS1B"
"ENSG00000102271",0,2.08600543176503,0.487,0.186,0,"0","ENSG00000102271","KLHL4"
"ENSG00000196569",0,1.37781612168957,0.452,0.153,0,"0","ENSG00000196569","LAMA2"
"ENSG00000144847",0,1.14112274491093,0.711,0.415,0,"0","ENSG00000144847","IGSF11"
"ENSG00000188641",0,1.11401403662456,0.958,0.662,0,"0","ENSG00000188641","DPYD"
"ENSG00000064651",0,1.27251570567019,0.762,0.467,0,"0","ENSG00000064651","SLC12A2"
"ENSG00000081913",0,1.92493196561445,0.979,0.684,0,"0","ENSG00000081913","PHLPP1"
"ENSG00000253807",0,1.86784112831076,0.505,0.211,0,"0","ENSG00000253807","LINC01170"
"ENSG00000111110",0,1.78647363235423,0.705,0.411,0,"0","ENSG00000111110","PPM1H"
"ENSG00000125703",0,1.60170489366381,0.744,0.451,0,"0","ENSG00000125703","ATG4C"
"ENSG00000183580",0,1.27770642247205,0.846,0.553,0,"0","ENSG00000183580","FBXL7"
"ENSG00000116574",0,2.00572479300617,0.521,0.23,0,"0","ENSG00000116574","RHOU"
"ENSG00000189058",0,0.480015710606583,0.638,0.348,0,"0","ENSG00000189058","APOD"
"ENSG00000150760",0,1.06347133905889,0.88,0.591,0,"0","ENSG00000150760","DOCK1"
"ENSG00000197892",0,1.4420751368354,0.736,0.448,0,"0","ENSG00000197892","KIF13B"
"ENSG00000141542",0,1.75804093946782,0.572,0.285,0,"0","ENSG00000141542","RAB40B"
"ENSG00000103184",0,1.98279457980278,0.464,0.178,0,"0","ENSG00000103184","SEC14L5"
"ENSG00000163697",0,1.12110302531869,0.923,0.638,0,"0","ENSG00000163697","APBB2"
